id_venda,data_venda,id_cliente,id_produto,categoria,quantidade,preco_unitario,custo_unitario
1001,2025-03-10,17,402,Roupas,5,149.9,59.96
1002,2025-02-21,17,704,Esportes,5,299.9,134.95
1003,2025-03-05,24,402,Roupas,5,149.9,59.96
1004,2025-01-20,6,307,Eletrônicos,1,89.0,53.4
1005,2025-01-09,41,404,Roupas,5,199.9,79.96
1006,2025-03-09,25,605,Alimentos,4,32.0,17.6
1007,2025-03-29,17,701,Esportes,1,199.9,89.95
1008,2025-02-07,35,503,Casa,1,89.9,44.95
1009,2025-04-03,28,404,Roupas,1,199.9,79.96
1010,2025-03-06,47,505,Casa,2,19.9,9.95
1011,2025-01-26,7,505,Casa,5,19.9,9.95
1012,2025-04-10,10,502,Casa,5,399.9,199.95
1013,2025-03-04,34,305,Eletrônicos,3,1299.99,779.99
1014,2025-01-31,2,303,Eletrônicos,3,2500.0,1500.0
1015,2025-01-11,4,405,Roupas,1,59.9,23.96
1016,2025-04-09,47,601,Alimentos,5,12.9,7.1
1017,2025-01-22,9,404,Roupas,5,199.9,79.96
1018,2025-01-28,17,705,Esportes,4,129.9,58.46
1019,2025-03-27,35,403,Roupas,4,39.9,15.96
1020,2025-02-27,42,504,Casa,5,149.9,74.95
1021,2025-02-13,8,402,Roupas,1,149.9,59.96
1022,2025-03-17,2,705,Esportes,2,129.9,58.46
1023,2025-01-30,15,301,Eletrônicos,1,150.0,90.0
1024,2025-01-10,5,307,Eletrônicos,3,89.0,53.4
1025,2025-01-28,33,403,Roupas,4,39.9,15.96
1026,2025-03-02,35,405,Roupas,5,59.9,23.96
1027,2025-01-13,16,604,Alimentos,2,8.9,4.9
1028,2025-02-22,7,603,Alimentos,4,45.0,24.75
1029,2025-01-08,30,306,Eletrônicos,1,450.0,270.0
1030,2025-01-25,26,501,Casa,2,29.9,14.95
1031,2025-02-24,13,704,Esportes,2,299.9,134.95
1032,2025-04-22,12,504,Casa,2,149.9,74.95
1033,2025-01-07,5,605,Alimentos,1,32.0,17.6
1034,2025-04-29,42,701,Esportes,1,199.9,89.95
1035,2025-03-04,49,402,Roupas,4,149.9,59.96
1036,2025-01-22,31,404,Roupas,1,199.9,79.96
1037,2025-04-29,25,304,Eletrônicos,3,35.5,21.3
1038,2025-03-26,30,504,Casa,5,149.9,74.95
1039,2025-02-07,46,602,Alimentos,2,25.0,13.75
1040,2025-01-08,14,305,Eletrônicos,5,1299.99,779.99
1041,2025-03-16,48,501,Casa,1,29.9,14.95
1042,2025-01-08,31,705,Esportes,2,129.9,58.46
1043,2025-01-09,33,307,Eletrônicos,2,89.0,53.4
1044,2025-02-21,39,306,Eletrônicos,2,450.0,270.0
1045,2025-03-18,8,702,Esportes,5,89.9,40.46
1046,2025-03-26,3,701,Esportes,4,199.9,89.95
1047,2025-04-30,38,705,Esportes,3,129.9,58.46
1048,2025-02-03,17,403,Roupas,2,39.9,15.96
1049,2025-02-10,26,403,Roupas,4,39.9,15.96
1050,2025-03-21,49,301,Eletrônicos,4,150.0,90.0
1051,2025-01-28,37,301,Eletrônicos,5,150.0,90.0
1052,2025-04-23,33,502,Casa,3,399.9,199.95
1053,2025-01-21,5,403,Roupas,3,39.9,15.96
1054,2025-04-14,29,703,Esportes,5,59.9,26.95
1055,2025-02-08,42,701,Esportes,5,199.9,89.95
1056,2025-01-15,43,302,Eletrônicos,3,89.9,53.94
1057,2025-02-06,7,702,Esportes,3,89.9,40.46
1058,2025-03-29,39,403,Roupas,2,39.9,15.96
1059,2025-02-02,41,505,Casa,4,19.9,9.95
1060,2025-04-17,4,306,Eletrônicos,4,450.0,270.0
1061,2025-04-09,18,301,Eletrônicos,3,150.0,90.0
1062,2025-03-12,9,502,Casa,4,399.9,199.95
1063,2025-01-15,46,605,Alimentos,1,32.0,17.6
1064,2025-04-17,5,405,Roupas,1,59.9,23.96
1065,2025-02-25,24,705,Esportes,2,129.9,58.46
1066,2025-04-26,9,303,Eletrônicos,3,2500.0,1500.0
1067,2025-03-27,3,502,Casa,2,399.9,199.95
1068,2025-03-21,7,505,Casa,4,19.9,9.95
1069,2025-04-13,48,402,Roupas,2,149.9,59.96
1070,2025-04-05,12,601,Alimentos,2,12.9,7.1
1071,2025-01-21,22,602,Alimentos,3,25.0,13.75
1072,2025-04-20,45,304,Eletrônicos,1,35.5,21.3
1073,2025-02-14,31,402,Roupas,4,149.9,59.96
1074,2025-03-26,20,402,Roupas,1,149.9,59.96
1075,2025-04-21,13,603,Alimentos,3,45.0,24.75
1076,2025-02-21,5,503,Casa,5,89.9,44.95
1077,2025-01-15,44,703,Esportes,1,59.9,26.95
1078,2025-01-05,17,405,Roupas,3,59.9,23.96
1079,2025-04-04,7,704,Esportes,3,299.9,134.95
1080,2025-01-15,21,605,Alimentos,5,32.0,17.6
1081,2025-01-06,25,702,Esportes,3,89.9,40.46
1082,2025-04-29,46,601,Alimentos,5,12.9,7.1
1083,2025-01-09,35,403,Roupas,4,39.9,15.96
1084,2025-03-26,43,505,Casa,3,19.9,9.95
1085,2025-03-27,8,505,Casa,3,19.9,9.95
1086,2025-03-12,27,504,Casa,3,149.9,74.95
1087,2025-03-28,9,404,Roupas,4,199.9,79.96
1088,2025-02-08,48,405,Roupas,5,59.9,23.96
1089,2025-02-06,26,701,Esportes,3,199.9,89.95
1090,2025-03-25,14,605,Alimentos,5,32.0,17.6
1091,2025-03-28,21,604,Alimentos,4,8.9,4.9
1092,2025-03-26,14,704,Esportes,2,299.9,134.95
1093,2025-02-12,6,505,Casa,5,19.9,9.95
1094,2025-04-14,6,403,Roupas,2,39.9,15.96
1095,2025-02-01,13,401,Roupas,1,79.9,31.96
1096,2025-02-23,31,701,Esportes,4,199.9,89.95
1097,2025-03-05,41,702,Esportes,4,89.9,40.46
1098,2025-04-25,26,402,Roupas,1,149.9,59.96
1099,2025-01-29,49,307,Eletrônicos,4,89.0,53.4
1100,2025-03-13,12,704,Esportes,1,299.9,134.95
1101,2025-04-13,16,304,Eletrônicos,2,35.5,21.3
1102,2025-02-10,30,705,Esportes,5,129.9,58.46
1103,2025-02-24,49,605,Alimentos,5,32.0,17.6
1104,2025-02-27,36,602,Alimentos,4,25.0,13.75
1105,2025-03-04,17,403,Roupas,5,39.9,15.96
1106,2025-01-10,41,403,Roupas,4,39.9,15.96
1107,2025-02-12,46,502,Casa,3,399.9,199.95
1108,2025-01-20,21,701,Esportes,2,199.9,89.95
1109,2025-01-09,15,602,Alimentos,2,25.0,13.75
1110,2025-03-01,27,603,Alimentos,5,45.0,24.75
1111,2025-02-19,27,302,Eletrônicos,4,89.9,53.94
1112,2025-02-18,50,701,Esportes,5,199.9,89.95
1113,2025-04-07,31,303,Eletrônicos,3,2500.0,1500.0
1114,2025-04-13,25,605,Alimentos,5,32.0,17.6
1115,2025-02-04,39,404,Roupas,2,199.9,79.96
1116,2025-02-13,28,601,Alimentos,4,12.9,7.1
1117,2025-04-28,43,602,Alimentos,4,25.0,13.75
1118,2025-04-27,9,705,Esportes,1,129.9,58.46
1119,2025-01-11,26,705,Esportes,1,129.9,58.46
1120,2025-01-24,42,602,Alimentos,4,25.0,13.75
